Publication Year,Document Title,ISSN,Journal Title,Volume,Issue,<1999,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Subtotal,>2024,Total
2014,Propose with a rose? Signaling in internet dating markets,13864157,Experimental Economics,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,3,3,0,4,1,22,0,22
2014,Early health economic evaluation of the future potential of next generation artificial vision systems for treating blindness in Germany,21911991,Health Economics Review,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,5,0,5
2014,Bettor Belief in the “Hot Hand”: Evidence From Detailed Betting Data on the NFL,15527794,Journal of Sports Economics,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,4,3,3,16,0,16
2014,Criminal Records and the Labor Market for Professional Athletes: The Case of the National Football League,15527794,Journal of Sports Economics,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,7,0,7
2014,Does General Manager Networking Affect Choice of Trade Partners in Major League Baseball?,15527794,Journal of Sports Economics,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2
2014,Is Self-Sufficiency for Women’s Collegiate Athletics a Hoop Dream? Willingness to Pay for Men’s and Women’s Basketball Tickets,15527794,Journal of Sports Economics,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,5,0,5
2014,Is the stock market sticker shocked? A study of market response to recent CAFE regulations in the US,14664283,Applied Economics,46,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2014,Do the Spanish regions converge? A unit root analysis for the HDI of the Spanish regions,14664283,Applied Economics,46,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,4,0,4
2014,Neoclassical Economics and Federal Policies: The Case of the Minimum Wage,15528502,Review of Radical Political Economics,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2014,Comments on Tom Weisskopf’s David Gordon Memorial Lecture,15528502,Review of Radical Political Economics,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,The Commodified Womb and Neoliberal Families,15528502,Review of Radical Political Economics,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,3,5,0,20,0,20
2014,"Capitalism, Crisis, and Class: The United States Economy after the 2008 Financial Crisis",15528502,Review of Radical Political Economics,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,3,0,8,0,8
2014,Capital Flows and Credit Expansions in Turkey,15528502,Review of Radical Political Economics,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1,3,1,11,0,11
2014,Reflections on 50 Years of Radical Political Economy,15528502,Review of Radical Political Economics,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,6,0,6
2014,"Pricing the Eyes of Passersby: The Commodification of Audience Attention in U.S. Public Spaces, 1890-1920",15528502,Review of Radical Political Economics,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,4,0,4
2014,Labor Process and the Social Structure of Accumulation in China1,15528502,Review of Radical Political Economics,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,4,3,2,1,15,0,15
2014,Unequal Exchange and the Rentier Economy,15528502,Review of Radical Political Economics,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,7,0,7
2014,The Cost of Job Guarantee in the United States: Insights from the 1930s Work Programs,15528502,Review of Radical Political Economics,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,3
2014,Flaws in the Marxian Explanations of the Great Recession,15528502,Review of Radical Political Economics,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2014,"Urban Inequality, Neoliberalism, and the Case for a Multidisciplinary Economics",15528502,Review of Radical Political Economics,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,5,0,5
